QGC WPL 110
0	1	0	16	0	0	0	0	53.946691	-1.067272	0	1
1	0	3	22	0	5	0	0	53.946691	-1.064268	20	1
2	0	3	178	0	20	0	0	0	0	0	1
2	0	3	16	0	3	0	0	53.946691	-1.060631	20	1
2	0	3	178	0	20	0	0	0	0	0	1
3	0	3	16	0	3	0	0	53.943521	-1.060631	20	1

4	0	3	86	1724	0	0	0	0	0	0	1
5	0	3	87	2040	0	0	0	0	0	0	1
6	0	3	86	1729	0	0	0	0	0	0	1


4	0	3	16	0	3	0	0	53.943521	-1.061704	20	1
2	0	3	178	0	20	0	0	0	0	0	1
5	0	3	16	0	3	0	0	53.946691	-1.061704	20	1

4	0	3	85	1791	0	0	0	0	0	0	1
5	0	3	87	2765	0	0	0	0	0	0	1
6	0	3	85	1508	0	0	0	0	0	0	1

6	0	3	16	0	3	0	0	53.946691	-1.062305	20	1
2	0	3	178	0	20	0	0	0	0	0	1
7	0	3	16	0	3	0	0	53.943521	-1.063067	20	1

4	0	3	85	5638	0	0	0	0	0	0	1
5	0	3	87	6751	0	0	0	0	0	0	1
6	0	3	86	1873	0	0	0	0	0	0	1

7	0	3	16	0	3	0	0	53.943521	-1.063067	20	1
8	0	3	21	0	3	0	0	53.947101	-1.064247	0	1
